datetime;predefinedLocationReference;averageVehicleSpeed;travelTime;travelTimeReliability;trafficStatus;vehicleProbeMeasurement;Geo Point;Geo Shape;gml_id;id_rva_troncon_fcd_v1_1;hierarchie;hierarchie_dv;denomination;insee;sens_circule;vitesse_maxi
2025-11-04T17:24:00+01:00;46081;28;9;25;heavy;1;48.089279813505925, -1.644661826302275;"{""coordinates"": [[-1.644639578102407, 48.08896837981537], [-1.644684074502144, 48.08959124719647]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3919;3919;Réseau de distribution principale;Réseau de distribution;Rue de Vern;35238;Sens unique;50
2025-11-04T17:24:00+01:00;46135;36;9;50;freeFlow;2;48.09144156763999, -1.6566949774696422;"{""coordinates"": [[-1.65607129069421, 48.09143353512631], [-1.657318664245074, 48.09144960015367]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3918;3918;Réseau de distribution principale;Réseau de distribution;Boulevard Léon Grimault;35238;Sens unique;50
2025-11-04T17:24:00+01:00;46136;36;8;35;freeFlow;1;48.09143240684648, -1.6555476053054756;"{""coordinates"": [[-1.655023919916741, 48.09143127856664], [-1.65607129069421, 48.09143353512631]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3921;3921;Réseau de distribution principale;Réseau de distribution;Boulevard Léon Grimault;35238;Sens unique;50
2025-11-04T17:24:00+01:00;46137;35;13;51;freeFlow;2;48.091412742332956, -1.6541705973273308;"{""coordinates"": [[-1.653317274737921, 48.091394206099274], [-1.655023919916741, 48.09143127856664]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3920;3920;Réseau de distribution principale;Réseau de distribution;Boulevard Léon Grimault;35238;Sens unique;50
2025-11-04T17:24:00+01:00;46163;6;52;27;congested;1;48.09074537347919, -1.645076273681416;"{""coordinates"": [[-1.644854370368208, 48.09036810661139], [-1.644953115979181, 48.0905645782854], [-1.645219235991832, 48.09099095944032], [-1.645352887047845, 48.09107355762099]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3923;3923;Réseau de distribution principale;Réseau de distribution;Rue de Vern;35238;Sens unique;50
2025-11-04T17:24:00+01:00;46228;67;15;60;freeFlow;1;48.08286440034145, -1.6981831938896361;"{""coordinates"": [[-1.698732907114332, 48.084009381631304], [-1.698580312013137, 48.083664284017686], [-1.698442587297784, 48.083392377914926], [-1.698225697389614, 48.08297619913914], [-1.698091101553649, 48.08269578463148], [-1.697932338444947, 48.08234931659939], [-1.697760494865183, 48.08196697894273], [-1.697633690411219, 48.08171922197827]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3922;3922;Réseau d'appui;Réseau structurant;Porte de Bréquigny;35238;Sens unique;90
2025-11-04T17:24:00+01:00;46230;52;27;100;heavy;9;48.08387656111076, -1.6984426512645108;"{""coordinates"": [[-1.697356796900986, 48.08252252316875], [-1.697771299763968, 48.08295855174575], [-1.698236304778471, 48.08350768143889], [-1.698503183308418, 48.08385991126534], [-1.698736933866605, 48.08421160281467], [-1.698963436934782, 48.08459738138394], [-1.699199156085163, 48.08500900461974], [-1.699369541142763, 48.085344092912585]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3925;3925;Réseau national;Route nationale;Route nationale 136;35238;Sens unique;90
2025-11-04T17:24:00+01:00;46251_D;50;3;0;unknown;0;48.0971717829198, -1.6418902204590085;"{""coordinates"": [[-1.642145539767847, 48.09730577628741], [-1.64163490115017, 48.097037789552196]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3924;3924;Réseau de distribution principale;Réseau de distribution;Rue de Châteaugiron;35238;;50
2025-11-04T17:24:00+01:00;46251_G;27;6;60;heavy;1;48.097256744330124, -1.6417908557653893;"{""coordinates"": [[-1.641535536294326, 48.097122750744404], [-1.642046175236453, 48.097390737915845]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3911;3911;Réseau de distribution principale;Réseau de distribution;Rue de Châteaugiron;35238;;50
2025-11-04T17:24:00+01:00;46264;41;40;60;heavy;1;48.08152136416591, -1.696257626549721;"{""coordinates"": [[-1.695084147703589, 48.08060785948217], [-1.695633313999009, 48.08098837720908], [-1.696429029667364, 48.08162283870827], [-1.696576132675903, 48.08174177134418], [-1.696771943735976, 48.081931158247095], [-1.697087532409048, 48.08224899291968], [-1.697356796900986, 48.08252252316875]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.3910;3910;Réseau d'appui;Réseau structurant;Porte de Bréquigny;35238;Sens unique;90
